Symbol-Company-Last Sale*-Change Net / %-Share Volume-
CRON-Cronos Group Inc.-$ 11.98-0.90 ▲ 8.12%-1,903,239
AFMD-Affimed N.V.-$ 6.60-1.05 ▲ 18.92%-1,601,090
TLRY-Tilray, Inc.-$ 61.55-10.05 ▲ 19.51%-931,401
ROKU-Roku, Inc.-$ 59.09-3.90 ▼ 6.19%-638,068
BLDP-Ballard Power Systems, Inc.-$ 3.47-0.53 ▲ 18.03%-602,308
QQQ-Invesco QQQ Trust, Series 1-$ 184.93-0.32 ▲ 0.17%-458,056
AMBC-Ambac Financial Group, Inc.-$ 21.13-0.14 ▼ 0.66%-400,200
WPRT-Westport Fuel Systems Inc-$ 3.64-0.75 ▲ 25.95%-351,602
AAPL-Apple Inc.-$ 220.25-0.55 ▲ 0.25%-237,633
MU-Micron Technology, Inc.-$ 52.09-0.25 ▼ 0.48%-194,536
