Symbol-Company-Last Sale*-Change Net / %-Share Volume-
ASRT-Assertio Therapeutics, Inc.-$ 6.15-1.17 ▼ 15.98%-57,971
ROKU-Roku, Inc.-$ 59.09-3.90 ▼ 6.19%-638,068
SNNA-Sienna Biopharmaceuticals, Inc.-$ 16.75-0.93 ▼ 5.26%-3,501
SIEN-Sientra, Inc.-$ 21.97-0.97 ▼ 4.23%-4,900
KMDA-Kamada Ltd.-$ 5.70-0.15 ▼ 2.56%-8,613
TUR-iShares MSCI Turkey ETF-$ 20.80-0.48 ▼ 2.26%-5,637
ALNA-Allena Pharmaceuticals, Inc.-$ 10.50-0.23 ▼ 2.14%-3,900
SPLK-Splunk Inc.-$ 124.82-2.61 ▼ 2.05%-36,510
AXSM-Axsome Therapeutics, Inc.-$ 2.95-0.05 ▼ 1.67%-7,200
VOD-Vodafone Group Plc-$ 22.59-0.29 ▼ 1.27%-119,955
